date_of_interest,CASE_COUNT,PROBABLE_CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,BX_CASE_COUNT
07-09-2024,606,373,80,2,496,835,65,2,105
07-10-2024,615,413,71,3,509,852,67,2,122
07-11-2024,585,398,71,2,543,915,69,2,112
07-12-2024,574,339,80,3,551,920,72,2,97
07/13/2024,384,305,51,5,551,927,70,2,80
07/14/2024,398,309,73,5,552,926,73,3,72
07/15/2024,727,498,91,0,556,932,74,3,111
07/16/2024,723,433,85,3,572,957,75,3,135
07/17/2024,639,459,62,1,576,967,73,3,111
07/18/2024,637,403,82,0,583,975,75,2,124
07/19/2024,591,482,71,4,586,998,74,3,95
07/20/2024,407,332,66,2,589,1005,76,2,73
07/21/2024,459,341,63,1,598,1019,74,2,68
07/22/2024,837,563,81,3,613,1044,73,2,131
07/23/2024,728,480,90,3,614,1051,74,2,121
07/24/2024,734,504,86,0,628,1071,77,2,111
07/25/2024,690,448,82,5,635,1085,77,3,104
07/26/2024,611,440,66,4,638,1082,76,3,99
07/27/2024,384,330,52,3,635,1078,74,3,79
07/28/2024,449,332,71,4,633,1076,75,3,71
07/29/2024,720,555,72,2,617,1058,74,3,119
07/30/2024,711,450,87,2,614,1051,74,3,109
07/31/2024,697,414,65,4,609,1033,71,3,139
08-01-2024,592,425,66,2,595,1016,68,3,114
08-02-2024,565,312,80,2,588,991,70,3,109
08-03-2024,358,275,43,4,585,979,69,3,77
08-04-2024,354,257,57,3,571,955,67,3,54
08-05-2024,663,416,76,4,563,927,68,3,128
08-06-2024,531,341,59,5,537,886,64,3,108
08-07-2024,500,334,73,4,509,846,65,3,124
08-08-2024,484,290,57,3,494,811,64,4,85
08-09-2024,415,274,52,1,472,785,60,3,83
08-10-2024,330,229,53,2,468,774,61,3,62
08-11-2024,369,251,68,3,470,775,63,3,60
08-12-2024,592,415,67,1,460,765,61,3,110
08/13/2024,535,377,72,1,461,771,63,2,102
08/14/2024,510,362,51,0,462,776,60,2,98
08/15/2024,512,288,73,4,466,780,62,2,102
08/16/2024,453,287,71,0,472,787,65,2,84
08/17/2024,315,200,45,4,469,781,64,2,58
08/18/2024,259,209,47,1,454,759,61,2,49
08/19/2024,523,321,63,2,444,736,60,2,109
08/20/2024,527,283,57,4,443,721,58,2,106
08/21/2024,466,287,47,1,436,704,58,2,99
08/22/2024,442,271,50,3,426,692,54,2,59
08/23/2024,413,219,67,2,421,676,54,2,77
08/24/2024,273,193,49,1,415,669,54,2,56
08/25/2024,262,213,38,1,415,670,53,2,48
08/26/2024,506,309,51,2,413,666,51,2,88
08/27/2024,379,257,41,2,392,641,49,2,70
08/28/2024,392,266,58,2,381,628,51,2,72
08/29/2024,425,205,51,1,379,616,51,2,75
08/30/2024,327,219,59,1,366,604,50,1,59
08/31/2024,250,157,32,2,363,595,47,2,57
09-01-2024,214,160,39,2,356,581,47,2,29
09-02-2024,220,164,38,1,315,519,45,2,32
09-03-2024,416,280,43,2,321,528,46,2,81
09-04-2024,400,247,41,2,322,526,43,2,72
09-05-2024,382,218,37,4,316,522,41,2,62
09-06-2024,308,194,41,4,313,516,39,2,56
09-07-2024,230,147,37,4,310,511,39,3,35
09-08-2024,201,171,39,2,308,511,39,3,38
09-09-2024,398,233,36,2,334,546,39,3,81
09-10-2024,367,254,39,2,327,536,39,3,61
09-11-2024,368,209,29,1,322,526,37,3,81
09-12-2024,386,235,52,1,323,529,39,2,80
09/13/2024,336,218,46,2,327,536,40,2,57
09/14/2024,228,159,38,1,326,538,40,2,43
09/15/2024,219,150,26,1,329,537,38,1,31
09/16/2024,419,230,50,0,332,540,40,1,71
09/17/2024,388,212,43,1,335,537,41,1,69
09/18/2024,329,182,36,4,329,527,42,1,51
09/19/2024,327,200,32,2,321,514,39,2,77
09/20/2024,308,156,37,3,317,501,37,2,65
09/21/2024,178,118,30,2,310,488,36,2,30
09/22/2024,203,151,26,1,307,486,36,2,25
09/23/2024,332,185,34,1,295,467,34,2,52
09/24/2024,283,129,24,1,280,440,31,2,47
09/25/2024,319,159,22,0,279,435,29,1,47
09/26/2024,253,139,19,1,268,416,27,1,33
09/27/2024,203,93,21,0,253,392,25,1,39
09/28/2024,128,84,16,0,246,380,23,1,17
09/29/2024,154,59,20,0,239,360,22,0,22
09/30/2024,238,102,12,1,225,335,19,0,32
10-01-2024,206,107,13,0,214,321,18,0,27
10-02-2024,160,108,6,0,192,291,15,0,25
10-03-2024,153,75,0,0,177,267,13,0,22
10-04-2024,116,64,0,0,165,251,10,0,19
10-05-2024,92,46,0,0,160,240,7,0,15
10-06-2024,63,8,0,0,147,220,4,0,7
10-07-2024,26,2,0,0,117,175,3,0,4
